SLIC,Facility Latitude,Facility Longitude
1944,39.8586,-75.2606
1948,39.6893,-75.6998
1949,39.8586,-75.2606
195,40.3903,-75.9375
1956,40.1607,-75.1392
1959,39.8586,-75.2606
195AM,0,0
195AZ,0,0
195BS,0,0
196,40.3903,-75.9375
1962Z,0,0
1968,40.3903,-75.9375
1969,40.3903,-75.9375
197,39.6893,-75.6998
1972,39.6893,-75.6998
1974,39.6893,-75.6998
1976,33.07441667,-63.08316667
1977,39.6893,-75.6998
1978,39.6893,-75.6998
1979,39.6893,-75.6998
1982Z,41.56,-77.11
1988,39.6893,-75.6998
1991,38.9426,-75.5641
1998,38.99286667,-76.0092
1999,38.9426,-75.5641
19CS,39.9137,-75.1469
19PH,39.9137,-75.1469
1B1,42.2503,-73.7891
1F,11.391,-32.43166667
1O5,41.7113,-122.6472
1OF,34.173,-97.295
2002,38.9406,-76.8634
2003,38.9406,-76.8634
2004,38.9406,-76.8634
2019,38.9406,-76.8634
2029,38.8499,-77.0665
202AM,0,0
2032,38.97985,-76.87615
2039,38.942,-76.8684
2048,39.118,-77.193
2049,39.118,-77.193
2052,19.4512,-38.52285
2058,38.6199,-76.9079
2059,38.6199,-76.9079
2072,38.942,-76.8684
2078,39.0934,-76.8994
2079,39.0934,-76.8994
207CO,0,0
2081,39.118,-77.193
2082,39.0934,-76.8994
2083,39.0934,-76.8994
2084,38.9788,-76.8724
2086,38.96606667,-76.8694
2087,39.0124,-76.99824
2088,39.0934,-76.8994
2094,38.2753,-77.4614
20N,41.9482,-73.992
2105,39.2626,-76.675
2108,31.41008,-61.34
210AM,0,0
210SP,0,0
2111,39.5203,-76.6433
2114,39.5203,-76.6433
2118,39.5203,-76.6433
2119,39.5203,-76.6433
2121,39.2626,-76.675
2123,39.2996,-76.5375
2124,39.5203,-76.6433
2126,39.2626,-76.675
2127,39.2626,-76.675
2128,39.2626,-76.675
2129,39.2626,-76.675
212AC,0,0
212AM,0,0
212AZ,0,0
212JA,39.2626,-76.675
212JB,39.2626,-76.675
2135,39.2626,-76.675
2139,39.1877,-76.6611
2142,39.2996,-76.5375
2148,39.2996,-76.5375
2159,39.6313,-78.766
215AC,0,0
2166,39.6313,-78.766
2168,38.87872,-76.16086
2169,39.2996,-76.5375
2171,39.3631,-77.4326
2173,39.39874286,-77.4752
