SLIC,SLIC Name,OpTyp,Desc,Building,Building Name,Region Num,Region Name,District Num,District Name,Facility Latitude,Facility Longitude,Organization Country Cd
024JJ,Customer Location,CSL,CUSTOMER SHIPPING LOC,024JJ,Customer Location,7,EAST REGION,36,NORTHEAST,0,0,US
250,MARTHAS VINEYARD,PKG,REGULAR PACKAGE CENTER,250,MARTHA'S VINEYARD,7,EAST REGION,36,NORTHEAST,41.4453,-70.6087,US
250,MARTHAS VINEYARD,PKG,REGULAR PACKAGE CENTER,250,MARTHA'S VINEYARD,7,NORTHEAST,36,EAST NEW ENGLAND,41.4453,-70.6087,US
251,NANTUCKET,PKG,REGULAR PACKAGE CENTER,251,NANTUCKET,7,EAST REGION,36,NORTHEAST,41.2621,-70.0724,US
251,NANTUCKET,PKG,REGULAR PACKAGE CENTER,251,NANTUCKET,7,NORTHEAST,36,EAST NEW ENGLAND,41.2621,-70.0724,US
258,SOMERVILLE - 0219 CPU,CPU,CENTRAL PICKUP,212,SOMERVILLE,7,EAST REGION,36,NORTHEAST,42.3775,-71.0796,US
258,SOMERVILLE - 0219 CPU,CPU,CENTRAL PICKUP,212,SOMERVILLE,7,NORTHEAST,36,EAST NEW ENGLAND,42.3775,-71.0796,US
259,SAGAMORE HUB,HUB,HUB/CENTRAL SORT,259,SAGAMORE,7,EAST REGION,36,NORTHEAST,41.7799,-70.5312,US
259,SAGAMORE HUB,HUB,HUB/CENTRAL SORT,259,SAGAMORE,7,NORTHEAST,36,EAST NEW ENGLAND,41.7799,-70.5312,US
025AC,Customer Location,CSL,CUSTOMER SHIPPING LOC,025AC,Customer Location,7,EAST REGION,36,NORTHEAST,0,0,US
260,SAGAMORE,PKG,REGULAR PACKAGE CENTER,259,SAGAMORE,7,EAST REGION,36,NORTHEAST,41.7799,-70.5312,US
260,SAGAMORE,PKG,REGULAR PACKAGE CENTER,259,SAGAMORE,7,NORTHEAST,36,EAST NEW ENGLAND,41.7799,-70.5312,US
261,YARMOUTH-YARMOUTH,PKG,REGULAR PACKAGE CENTER,269,YARMOUTH,7,EAST REGION,36,NORTHEAST,41.6814,-70.2571,US
261,YARMOUTH-YARMOUTH,PKG,REGULAR PACKAGE CENTER,269,YARMOUTH,7,NORTHEAST,36,EAST NEW ENGLAND,41.6814,-70.2571,US
262,YARMOUTH - 0299 TDP,CPU,CENTRAL PICKUP,269,YARMOUTH,7,EAST REGION,36,NORTHEAST,41.6814,-70.2571,US
262,YARMOUTH - 0299 TDP,CPU,CENTRAL PICKUP,269,YARMOUTH,7,NORTHEAST,36,EAST NEW ENGLAND,41.6814,-70.2571,US
263,YARMOUTH - 0249 TDP,CPU,CENTRAL PICKUP,269,YARMOUTH,7,EAST REGION,36,NORTHEAST,41.6814,-70.2571,US
263,YARMOUTH - 0249 TDP,CPU,CENTRAL PICKUP,269,YARMOUTH,7,NORTHEAST,36,EAST NEW ENGLAND,41.6814,-70.2571,US
